Wall time,Step,Value
1582821417.0382526,142283,-53.740936279296875
1582821417.1218176,142359,-52.34793472290039
1582821417.2207317,142555,-52.758670806884766
1582821417.534,143071,-54.70771789550781
1582821417.8532171,143498,-55.84968948364258
1582821419.348037,145375,-57.06907653808594
1582821424.265925,148857,-49.24561309814453
1582821425.6987662,150010,-48.91212844848633
1582821425.9952834,150316,-49.37461471557617
1582821426.5985425,150977,-49.86632537841797
1582821426.8721688,151223,-51.3659553527832
1582821427.7787027,152130,-51.07160568237305
1582821432.1160696,155228,-49.11244201660156
1582821432.477249,155479,-48.594417572021484
1582821434.9997594,157594,-49.4552001953125
1582821435.468861,157990,-48.895835876464844
1582821439.602421,160237,-47.726680755615234
1582821441.2357125,161036,-46.85914611816406
1582821444.904592,163314,-49.10634231567383
1582821454.354901,168247,-45.14733123779297
1582821460.129159,171323,-42.19888687133789
1582821462.5220618,172251,-41.76061248779297
1582821467.1603055,174478,-41.14259338378906
1582821468.30383,175201,-41.27450942993164
1582821468.4506176,175329,-41.02424621582031
1582821473.7876039,178289,-39.14104080200195
1582821474.237511,178483,-38.31693649291992
1582821475.7043347,179333,-38.15349197387695
1582821485.1716108,183936,-34.390445709228516
1582821491.9271636,187940,-30.297290802001953
1582821492.3682182,188264,-29.364473342895508
1582821492.9363809,188978,-31.8116455078125
1582821496.5191247,191347,-31.800386428833008
1582821498.269348,192360,-32.638153076171875
1582821499.0940695,192983,-30.741676330566406
1582821500.0546787,193693,-31.57090187072754
1582821500.121628,193759,-30.741352081298828
1582821502.142629,195160,-30.226572036743164
1582821502.1722941,195176,-32.88591384887695
1582821503.4694564,196096,-33.96813201904297
1582821504.1319196,196723,-34.883445739746094
1582821505.1853008,197955,-37.91334915161133
1582821507.6164281,199846,-38.82277297973633
1582821508.8432877,200840,-37.63315963745117
1582821508.888993,200880,-36.79421615600586
1582821509.1443343,201140,-38.28015899658203
1582821510.7927768,202828,-37.440860748291016
1582821513.0910776,204436,-37.297767639160156
1582821515.948094,205738,-35.343570709228516
1582821517.7888505,206772,-34.19319534301758
1582821519.3162537,208102,-34.390933990478516
1582821525.2770345,211560,-33.2367057800293
1582821526.0399384,212278,-34.04195022583008
1582821526.8451915,213397,-37.92648696899414
1582821526.9179134,213484,-38.632320404052734
1582821527.7874055,214516,-40.183895111083984
1582821528.4866912,215090,-41.44355392456055
1582821529.9381073,216134,-41.74045181274414
1582821531.55684,217453,-43.5027961730957
1582821531.860301,217766,-47.0388298034668
1582821532.1050348,218016,-50.69466781616211
1582821532.3300424,218204,-54.38232421875
1582821532.7787426,218567,-53.7855224609375
1582821533.3270204,219192,-56.80292892456055
1582821535.65044,221348,-60.47443771362305
